STD PET CSV
CTSL,HDR_XT,DVALTIME,XA32S19,YA32S19,ZA32S19,XVELS15,YVELS15,ZVELS15,LAT,LONG,TRKQ,TRRKQ,MUTRK,LR,TT,LTN,CGTN,ID,CATE,CSOURCE,RPRTCTSL,RPRTPU,RSOURCE,TRKST,CEPN,CECUID,ONAME,SNAME,M1,M2,M3,M4,Altitude,Size,Geometry,File Type,Special Point Type,Platform,Activity,Spec Type,STN
900,63342.000,63342.000,0.881622,-4.552106,4.642273,0.109558,0.005742,0.000000,36.619000,-74.447000,3,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9290.732333,0,WGSLLA,PETARC,0,0,0,0,0
900,63357.000,63357.000,2.302115,-4.733736,4.660262,0.108674,-0.011422,0.000000,36.616000,-74.418000,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9328.490667,0,WGSLLA,PETARC,0,0,0,0,0
900,63370.000,63370.000,4.065601,-4.854004,4.709680,0.106343,-0.011177,0.000000,36.614000,-74.382000,5,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9430.868667,0,WGSLLA,PETARC,0,0,0,0,0
900,63372.000,63372.000,3.869650,-4.854147,4.693746,0.106343,-0.011177,0.000000,36.614000,-74.386000,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9398.558000,0,WGSLLA,PETARC,0,0,0,0,0
900,63385.000,63385.000,5.584326,-5.034564,4.728364,0.105042,-0.011040,0.000000,36.611000,-74.351000,5,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9472.942333,0,WGSLLA,PETARC,0,0,0,0,0
900,63387.000,63387.000,5.780246,-5.034308,4.715130,0.104948,-0.009182,0.000000,36.611000,-74.347000,7,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9447.111667,0,WGSLLA,PETARC,0,0,0,0,0
900,63401.000,63401.000,7.054082,-5.153992,4.733647,0.103807,-0.009082,0.000000,36.609000,-74.321000,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9489.171000,0,WGSLLA,PETARC,0,0,0,0,0
900,63403.000,63403.000,7.446078,-5.214090,4.736523,0.103590,-0.009063,0.000000,36.608000,-74.313000,7,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9496.728333,0,WGSLLA,PETARC,0,0,0,0,0
900,63418.000,63418.000,9.013928,-5.332753,4.742923,0.102929,-0.010818,0.000000,36.606000,-74.281000,7,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9517.270000,0,WGSLLA,PETARC,0,0,0,0,0
900,63419.000,63419.000,9.161009,-5.393164,4.741375,0.102874,-0.010813,0.000000,36.605000,-74.278000,7,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9515.125000,0,WGSLLA,PETARC,0,0,0,0,0
900,63437.000,63437.000,10.532937,-5.511661,4.723904,0.103838,-0.014593,0.000000,36.603000,-74.250000,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9488.283000,0,WGSLLA,PETARC,0,0,0,0,0
900,63451.000,63451.000,12.493212,-5.870899,4.634013,0.107559,-0.018966,0.000000,36.597000,-74.210000,7,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9322.587333,0,WGSLLA,PETARC,0,0,0,0,0
900,63458.000,63458.000,13.228201,-5.929550,4.612388,0.107980,-0.005659,0.000000,36.596000,-74.195000,7,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9284.944667,0,WGSLLA,PETARC,0,0,0,0,0
900,63466.000,63466.000,14.109881,-5.866285,4.606378,0.098543,0.028257,0.000000,36.597000,-74.177000,7,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9279.603000,0,WGSLLA,PETARC,0,0,0,0,0
900,63475.000,63475.000,14.550286,-5.682870,4.614037,0.088816,0.045254,0.000000,36.600000,-74.168000,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9297.922333,0,WGSLLA,PETARC,0,0,0,0,0
900,63482.000,63482.000,15.283310,-5.134263,4.598852,0.061785,0.071076,0.000000,36.609000,-74.153000,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9272.099000,0,WGSLLA,PETARC,0,0,0,0,0
900,63497.000,63497.000,15.817918,-3.918548,4.568443,0.010992,0.089525,0.000000,36.629000,-74.142000,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9212.867333,0,WGSLLA,PETARC,0,0,0,0,0
900,63501.000,63501.000,15.815950,-3.311618,4.585761,-0.012341,0.087809,0.000000,36.639000,-74.142000,7,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9246.223667,0,WGSLLA,PETARC,0,0,0,0,0
900,63512.000,63512.000,15.519313,-2.462863,4.579698,-0.047908,0.073772,0.000000,36.653000,-74.148000,7,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9230.028333,0,WGSLLA,PETARC,0,0,0,0,0
900,63528.000,63528.000,14.586921,-1.737510,4.594343,-0.084860,0.030887,0.000000,36.665000,-74.167000,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9250.412000,0,WGSLLA,PETARC,0,0,0,0,0
